date,sales,year,month,day,day_of_week,week_of_year,quarter,is_year_end,sales_lag_1,sales_lag_7,sales_lag_14,sales_lag_30,sales_rolling_7,sales_rolling_30
2011-02-20,0,2011,2,20,6,7,1,0,156.0,130.0,3.0,8486.0,3910.714285714286,3065.4
2011-02-21,4484,2011,2,21,0,8,1,0,0.0,4604.0,1799.0,3563.0,3893.5714285714284,3096.1
2011-02-22,2648,2011,2,22,1,8,1,0,4484.0,10347.0,1008.0,2163.0,2793.714285714286,3112.266666666667
2011-02-23,4355,2011,2,23,2,8,1,0,2648.0,9334.0,4579.0,3983.0,2082.4285714285716,3124.6666666666665
2011-02-24,5867,2011,2,24,3,8,1,0,4355.0,631.0,11863.0,1192.0,2830.4285714285716,3280.5
2011-02-25,3394,2011,2,25,4,8,1,0,5867.0,2303.0,1008.0,5422.0,2986.285714285714,3212.9
2011-02-26,4104,2011,2,26,5,8,1,0,3394.0,156.0,2870.0,2166.0,3550.285714285714,3277.5
2011-02-27,625,2011,2,27,6,8,1,0,4104.0,0.0,130.0,1208.0,3639.5714285714284,3258.0666666666666
2011-02-28,2418,2011,2,28,0,9,1,0,625.0,4484.0,4604.0,910.0,3344.4285714285716,3308.3333333333335
2011-03-01,12567,2011,3,1,1,9,1,0,2418.0,2648.0,10347.0,455.0,4761.428571428572,3712.0666666666666
2011-03-02,4147,2011,3,2,2,9,1,0,12567.0,4355.0,9334.0,7643.0,4731.714285714285,3595.5333333333333
2011-03-03,9480,2011,3,3,3,9,1,0,4147.0,5867.0,631.0,2457.0,5247.857142857143,3829.633333333333
2011-03-04,1244,2011,3,4,4,9,1,0,9480.0,3394.0,2303.0,7712.0,4940.714285714285,3614.0333333333333
2011-03-05,835,2011,3,5,5,9,1,0,1244.0,4104.0,156.0,366.0,4473.714285714285,3629.6666666666665
2011-03-06,135,2011,3,6,6,9,1,0,835.0,625.0,0.0,1866.0,4403.714285714285,3571.9666666666667
2011-03-07,3866,2011,3,7,0,10,1,0,135.0,2418.0,4484.0,221.0,4610.571428571428,3693.4666666666667
2011-03-08,9873,2011,3,8,1,10,1,0,3866.0,12567.0,2648.0,3.0,4225.714285714285,4022.4666666666667
2011-03-09,723,2011,3,9,2,10,1,0,9873.0,4147.0,4355.0,1799.0,3736.5714285714284,3986.6
2011-03-10,4108,2011,3,10,3,10,1,0,723.0,9480.0,5867.0,1008.0,2969.1428571428573,4089.9333333333334
2011-03-11,2933,2011,3,11,4,10,1,0,4108.0,1244.0,3394.0,4579.0,3210.4285714285716,4035.0666666666666
2011-03-12,4637,2011,3,12,5,10,1,0,2933.0,835.0,4104.0,11863.0,3753.5714285714284,3794.2
2011-03-13,0,2011,3,13,6,10,1,0,4637.0,135.0,625.0,1008.0,3734.285714285714,3760.6
2011-03-14,6628,2011,3,14,0,11,1,0,0.0,3866.0,2418.0,2870.0,4128.857142857143,3885.866666666667
2011-03-15,1826,2011,3,15,1,11,1,0,6628.0,9873.0,12567.0,130.0,2979.285714285714,3942.4
2011-03-16,1161,2011,3,16,2,11,1,0,1826.0,723.0,4147.0,4604.0,3041.8571428571427,3827.633333333333
2011-03-17,4614,2011,3,17,3,11,1,0,1161.0,4108.0,9480.0,10347.0,3114.1428571428573,3636.5333333333333
2011-03-18,30115,2011,3,18,4,11,1,0,4614.0,2933.0,1244.0,9334.0,6997.285714285715,4329.233333333334
2011-03-19,972,2011,3,19,5,11,1,0,30115.0,4637.0,835.0,631.0,6473.714285714285,4340.6
2011-03-20,0,2011,3,20,6,11,1,0,972.0,0.0,135.0,2303.0,6473.714285714285,4263.833333333333
2011-03-21,10680,2011,3,21,0,12,1,0,0.0,6628.0,3866.0,156.0,7052.571428571428,4614.633333333333
2011-03-22,3879,2011,3,22,1,12,1,0,10680.0,1826.0,9873.0,0.0,7345.857142857143,4743.933333333333
2011-03-23,5068,2011,3,23,2,12,1,0,3879.0,1161.0,723.0,4484.0,7904.0,4763.4
2011-03-24,1362,2011,3,24,3,12,1,0,5068.0,4614.0,4108.0,2648.0,7439.428571428572,4720.533333333334
2011-03-25,3266,2011,3,25,4,12,1,0,1362.0,30115.0,2933.0,4355.0,3603.8571428571427,4684.233333333334
2011-03-26,856,2011,3,26,5,12,1,0,3266.0,972.0,4637.0,5867.0,3587.285714285714,4517.2
2011-03-27,30,2011,3,27,6,12,1,0,856.0,0.0,0.0,3394.0,3591.5714285714284,4405.066666666667
2011-03-28,4261,2011,3,28,0,13,1,0,30.0,10680.0,6628.0,4104.0,2674.5714285714284,4410.3
2011-03-29,2951,2011,3,29,1,13,1,0,4261.0,3879.0,1826.0,625.0,2542.0,4487.833333333333
2011-03-30,5762,2011,3,30,2,13,1,0,2951.0,5068.0,1161.0,2418.0,2641.1428571428573,4599.3
2011-03-31,7747,2011,3,31,3,13,1,0,5762.0,1362.0,4614.0,12567.0,3553.285714285714,4438.633333333333
2011-04-01,2586,2011,4,1,4,13,2,0,7747.0,3266.0,30115.0,4147.0,3456.1428571428573,4386.6
2011-04-02,8923,2011,4,2,5,13,2,0,2586.0,856.0,972.0,9480.0,4608.571428571428,4368.033333333334
2011-04-03,879,2011,4,3,6,13,2,0,8923.0,30.0,0.0,1244.0,4729.857142857143,4355.866666666667
2011-04-04,5725,2011,4,4,0,14,2,0,879.0,4261.0,10680.0,835.0,4939.0,4518.866666666667
2011-04-05,10265,2011,4,5,1,14,2,0,5725.0,2951.0,3879.0,135.0,5983.857142857143,4856.533333333334
2011-04-06,4674,2011,4,6,2,14,2,0,10265.0,5762.0,5068.0,3866.0,5828.428571428572,4883.466666666666
2011-04-07,3438,2011,4,7,3,14,2,0,4674.0,7747.0,1362.0,9873.0,5212.857142857143,4668.966666666666
2011-04-08,6802,2011,4,8,4,14,2,0,3438.0,2586.0,3266.0,723.0,5815.142857142857,4871.6
2011-04-09,367,2011,4,9,5,14,2,0,6802.0,8923.0,856.0,4108.0,4592.857142857143,4746.9
2011-04-10,0,2011,4,10,6,14,2,0,367.0,879.0,30.0,2933.0,4467.285714285715,4649.133333333333
2011-04-11,4548,2011,4,11,0,15,2,0,0.0,5725.0,4261.0,4637.0,4299.142857142857,4646.166666666667
2011-04-12,4012,2011,4,12,1,15,2,0,4548.0,10265.0,2951.0,0.0,3405.8571428571427,4779.9
2011-04-13,3052,2011,4,13,2,15,2,0,4012.0,4674.0,5762.0,6628.0,3174.1428571428573,4660.7
2011-04-14,6252,2011,4,14,3,15,2,0,3052.0,3438.0,7747.0,1826.0,3576.1428571428573,4808.233333333334
2011-04-15,1728,2011,4,15,4,15,2,0,6252.0,6802.0,2586.0,1161.0,2851.285714285714,4827.133333333333
2011-04-16,4041,2011,4,16,5,15,2,0,1728.0,367.0,8923.0,4614.0,3376.1428571428573,4808.033333333334
2011-04-17,0,2011,4,17,6,15,2,0,4041.0,0.0,879.0,30115.0,3376.1428571428573,3804.2
2011-04-18,5907,2011,4,18,0,16,2,0,0.0,4548.0,5725.0,972.0,3570.285714285714,3968.7
2011-04-19,2860,2011,4,19,1,16,2,0,5907.0,4012.0,10265.0,0.0,3405.714285714286,4064.0333333333333
2011-04-20,4138,2011,4,20,2,16,2,0,2860.0,3052.0,4674.0,10680.0,3560.8571428571427,3845.9666666666667
2011-04-21,4703,2011,4,21,3,16,2,0,4138.0,6252.0,3438.0,3879.0,3339.5714285714284,3873.4333333333334
2011-04-22,7064,2011,4,22,4,16,2,0,4703.0,1728.0,6802.0,5068.0,4101.857142857143,3939.9666666666667
2011-04-23,772,2011,4,23,5,16,2,0,7064.0,4041.0,367.0,1362.0,3634.8571428571427,3920.3
2011-04-24,166,2011,4,24,6,16,2,0,772.0,0.0,0.0,3266.0,3658.5714285714284,3816.9666666666667
2011-04-25,5026,2011,4,25,0,17,2,0,166.0,5907.0,4548.0,856.0,3532.714285714286,3955.9666666666667
2011-04-26,2087,2011,4,26,1,17,2,0,5026.0,2860.0,4012.0,30.0,3422.285714285714,4024.5333333333333
2011-04-27,8437,2011,4,27,2,17,2,0,2087.0,4138.0,3052.0,4261.0,4036.4285714285716,4163.733333333334
2011-04-28,3912,2011,4,28,3,17,2,0,8437.0,4703.0,6252.0,2951.0,3923.4285714285716,4195.766666666666
2011-04-29,3070,2011,4,29,4,17,2,0,3912.0,7064.0,1728.0,5762.0,3352.8571428571427,4106.033333333334
2011-04-30,1493,2011,4,30,5,17,2,0,3070.0,772.0,4041.0,7747.0,3455.8571428571427,3897.5666666666666
2011-05-01,0,2011,5,1,6,17,2,0,1493.0,166.0,0.0,2586.0,3432.1428571428573,3811.366666666667
2011-05-02,9275,2011,5,2,0,18,2,0,0.0,5026.0,5907.0,8923.0,4039.1428571428573,3823.1
2011-05-03,5259,2011,5,3,1,18,2,0,9275.0,2087.0,2860.0,879.0,4492.285714285715,3969.1
2011-05-04,7513,2011,5,4,2,18,2,0,5259.0,8437.0,4138.0,5725.0,4360.285714285715,4028.7
2011-05-05,2998,2011,5,5,3,18,2,0,7513.0,3912.0,4703.0,10265.0,4229.714285714285,3786.4666666666667
2011-05-06,5966,2011,5,6,4,18,2,0,2998.0,3070.0,7064.0,4674.0,4643.428571428572,3829.5333333333333
2011-05-07,1982,2011,5,7,5,18,2,0,5966.0,1493.0,772.0,3438.0,4713.285714285715,3781.0
2011-05-08,2502,2011,5,8,6,18,2,0,1982.0,0.0,166.0,6802.0,5070.714285714285,3637.6666666666665
2011-05-09,5018,2011,5,9,0,19,2,0,2502.0,9275.0,5026.0,367.0,4462.571428571428,3792.7
2011-05-10,5828,2011,5,10,1,19,2,0,5018.0,5259.0,2087.0,0.0,4543.857142857143,3986.9666666666667
2011-05-11,2821,2011,5,11,2,19,2,0,5828.0,7513.0,8437.0,4548.0,3873.5714285714284,3929.4
2011-05-12,5519,2011,5,12,3,19,2,0,2821.0,2998.0,3912.0,4012.0,4233.714285714285,3979.633333333333
2011-05-13,6774,2011,5,13,4,19,2,0,5519.0,5966.0,3070.0,3052.0,4349.142857142857,4103.7
2011-05-14,4543,2011,5,14,5,19,2,0,6774.0,1982.0,1493.0,6252.0,4715.0,4046.733333333333
2011-05-15,194,2011,5,15,6,19,2,0,4543.0,2502.0,0.0,1728.0,4385.285714285715,3995.6
2011-05-16,1569,2011,5,16,0,20,2,0,194.0,5018.0,9275.0,4041.0,3892.5714285714284,3913.2
2011-05-17,3524,2011,5,17,1,20,2,0,1569.0,5828.0,5259.0,0.0,3563.4285714285716,4030.6666666666665
2011-05-18,9238,2011,5,18,2,20,2,0,3524.0,2821.0,7513.0,5907.0,4480.142857142857,4141.7
2011-05-19,3039,2011,5,19,3,20,2,0,9238.0,5519.0,2998.0,2860.0,4125.857142857143,4147.666666666667
2011-05-20,1291,2011,5,20,4,20,2,0,3039.0,6774.0,5966.0,4138.0,3342.5714285714284,4052.766666666667
2011-05-21,10646,2011,5,21,5,20,2,0,1291.0,4543.0,1982.0,4703.0,4214.428571428572,4250.866666666667
2011-05-22,226,2011,5,22,6,20,2,0,10646.0,194.0,2502.0,7064.0,4219.0,4022.9333333333334
2011-05-23,6533,2011,5,23,0,21,2,0,226.0,1569.0,5018.0,772.0,4928.142857142857,4214.966666666666
2011-05-24,10474,2011,5,24,1,21,2,0,6533.0,3524.0,5828.0,166.0,5921.0,4558.566666666667
2011-05-25,3046,2011,5,25,2,21,2,0,10474.0,9238.0,2821.0,5026.0,5036.428571428572,4492.566666666667
2011-05-26,5965,2011,5,26,3,21,2,0,3046.0,3039.0,5519.0,2087.0,5454.428571428572,4621.833333333333
2011-05-27,5867,2011,5,27,4,21,2,0,5965.0,1291.0,6774.0,8437.0,6108.142857142857,4536.166666666667
2011-05-28,2104,2011,5,28,5,21,2,0,5867.0,10646.0,4543.0,3912.0,4887.857142857143,4475.9
2011-05-29,0,2011,5,29,6,21,2,0,2104.0,226.0,194.0,3070.0,4855.571428571428,4373.566666666667
2011-05-30,8638,2011,5,30,0,22,2,0,0.0,6533.0,1569.0,1493.0,5156.285714285715,4611.733333333334
2011-05-31,8410,2011,5,31,1,22,2,0,8638.0,10474.0,3524.0,0.0,4861.428571428572,4892.066666666667
2011-06-01,11481,2011,6,1,2,22,2,0,8410.0,3046.0,9238.0,9275.0,6066.428571428572,4965.6
2011-06-02,12518,2011,6,2,3,22,2,0,11481.0,5965.0,3039.0,5259.0,7002.571428571428,5207.566666666667
2011-06-03,11351,2011,6,3,4,22,2,0,12518.0,5867.0,1291.0,7513.0,7786.0,5335.5
2011-06-04,1926,2011,6,4,5,22,2,0,11351.0,2104.0,10646.0,2998.0,7760.571428571428,5299.766666666666
2011-06-05,1139,2011,6,5,6,22,2,0,1926.0,0.0,226.0,5966.0,7923.285714285715,5138.866666666667
2011-06-06,10266,2011,6,6,0,23,2,0,1139.0,8638.0,6533.0,1982.0,8155.857142857143,5415.0
2011-06-07,16748,2011,6,7,1,23,2,0,10266.0,8410.0,10474.0,2502.0,9347.0,5889.866666666667
2011-06-08,9530,2011,6,8,2,23,2,0,16748.0,11481.0,3046.0,5018.0,9068.285714285714,6040.266666666666
2011-06-09,10245,2011,6,9,3,23,2,0,9530.0,12518.0,5965.0,5828.0,8743.57142857143,6187.5
2011-06-10,5474,2011,6,10,4,23,2,0,10245.0,11351.0,5867.0,2821.0,7904.0,6275.933333333333
2011-06-11,3161,2011,6,11,5,23,2,0,5474.0,1926.0,2104.0,5519.0,8080.428571428572,6197.333333333333
2011-06-12,38,2011,6,12,6,23,2,0,3161.0,1139.0,0.0,6774.0,7923.142857142857,5972.8
2011-06-13,6576,2011,6,13,0,24,2,0,38.0,10266.0,8638.0,4543.0,7396.0,6040.566666666667
2011-06-14,4947,2011,6,14,1,24,2,0,6576.0,16748.0,8410.0,194.0,5710.142857142857,6199.0
2011-06-15,6110,2011,6,15,2,24,2,0,4947.0,9530.0,11481.0,1569.0,5221.571428571428,6350.366666666667
2011-06-16,4010,2011,6,16,3,24,2,0,6110.0,10245.0,12518.0,3524.0,4330.857142857143,6366.566666666667
2011-06-17,14496,2011,6,17,4,24,2,0,4010.0,5474.0,11351.0,9238.0,5619.714285714285,6541.833333333333
2011-06-18,5519,2011,6,18,5,24,2,0,14496.0,3161.0,1926.0,3039.0,5956.571428571428,6624.5
2011-06-19,58,2011,6,19,6,24,2,0,5519.0,38.0,1139.0,1291.0,5959.428571428572,6583.4
2011-06-20,8529,2011,6,20,0,25,2,0,58.0,6576.0,10266.0,10646.0,6238.428571428572,6512.833333333333
2011-06-21,8720,2011,6,21,1,25,2,0,8529.0,4947.0,16748.0,226.0,6777.428571428572,6795.966666666666
2011-06-22,19197,2011,6,22,2,25,2,0,8720.0,6110.0,9530.0,6533.0,8647.0,7218.1
2011-06-23,3134,2011,6,23,3,25,2,0,19197.0,4010.0,10245.0,10474.0,8521.857142857143,6973.433333333333
2011-06-24,5390,2011,6,24,4,25,2,0,3134.0,14496.0,5474.0,3046.0,7221.0,7051.566666666667
2011-06-25,5899,2011,6,25,5,25,2,0,5390.0,5519.0,3161.0,5965.0,7275.285714285715,7049.366666666667
2011-06-26,1269,2011,6,26,6,25,2,0,5899.0,58.0,38.0,5867.0,7448.285714285715,6896.1
2011-06-27,6653,2011,6,27,0,26,2,0,1269.0,8529.0,6576.0,2104.0,7180.285714285715,7047.733333333334
2011-06-28,7197,2011,6,28,1,26,2,0,6653.0,8720.0,4947.0,0.0,6962.714285714285,7287.633333333333
2011-06-29,8333,2011,6,29,2,26,2,0,7197.0,19197.0,6110.0,8638.0,5410.714285714285,7277.466666666666
2011-06-30,5300,2011,6,30,3,26,2,0,8333.0,3134.0,4010.0,8410.0,5720.142857142857,7173.8
2011-07-01,3844,2011,7,1,4,26,3,0,5300.0,5390.0,14496.0,11481.0,5499.285714285715,6919.233333333334
2011-07-02,389,2011,7,2,5,26,3,0,3844.0,5899.0,5519.0,12518.0,4712.142857142857,6514.933333333333
2011-07-03,0,2011,7,3,6,26,3,0,389.0,1269.0,58.0,11351.0,4530.857142857143,6136.566666666667
2011-07-04,1984,2011,7,4,0,27,3,0,0.0,6653.0,8529.0,1926.0,3863.8571428571427,6138.5
2011-07-05,3725,2011,7,5,1,27,3,0,1984.0,7197.0,8720.0,1139.0,3367.8571428571427,6224.7
2011-07-06,3772,2011,7,6,2,27,3,0,3725.0,8333.0,19197.0,10266.0,2716.285714285714,6008.233333333334
2011-07-07,4856,2011,7,7,3,27,3,0,3772.0,5300.0,3134.0,16748.0,2652.8571428571427,5611.833333333333
2011-07-08,3385,2011,7,8,4,27,3,0,4856.0,3844.0,5390.0,9530.0,2587.285714285714,5407.0
2011-07-09,2022,2011,7,9,5,27,3,0,3385.0,389.0,5899.0,10245.0,2820.5714285714284,5132.9
2011-07-10,0,2011,7,10,6,27,3,0,2022.0,0.0,1269.0,5474.0,2820.5714285714284,4950.433333333333
2011-07-11,5228,2011,7,11,0,28,3,0,0.0,1984.0,6653.0,3161.0,3284.0,5019.333333333333
2011-07-12,5228,2011,7,12,1,28,3,0,5228.0,3725.0,7197.0,38.0,3498.714285714286,5192.333333333333
2011-07-13,1939,2011,7,13,2,28,3,0,5228.0,3772.0,8333.0,6576.0,3236.8571428571427,5037.766666666666
2011-07-14,3034,2011,7,14,3,28,3,0,1939.0,4856.0,5300.0,4947.0,2976.5714285714284,4974.0
2011-07-15,934,2011,7,15,4,28,3,0,3034.0,3385.0,3844.0,6110.0,2626.4285714285716,4801.466666666666
2011-07-16,3626,2011,7,16,5,28,3,0,934.0,2022.0,389.0,4010.0,2855.5714285714284,4788.666666666667
2011-07-17,354,2011,7,17,6,28,3,0,3626.0,0.0,0.0,14496.0,2906.1428571428573,4317.266666666666
2011-07-18,5443,2011,7,18,0,29,3,0,354.0,5228.0,1984.0,5519.0,2936.8571428571427,4314.733333333334
2011-07-19,4767,2011,7,19,1,29,3,0,5443.0,5228.0,3725.0,58.0,2871.0,4471.7
2011-07-20,7977,2011,7,20,2,29,3,0,4767.0,1939.0,3772.0,8529.0,3733.5714285714284,4453.3
2011-07-21,6104,2011,7,21,3,29,3,0,7977.0,3034.0,4856.0,8720.0,4172.142857142857,4366.1
2011-07-22,3077,2011,7,22,4,29,3,0,6104.0,934.0,3385.0,19197.0,4478.285714285715,3828.766666666667
2011-07-23,3861,2011,7,23,5,29,3,0,3077.0,3626.0,2022.0,3134.0,4511.857142857143,3853.0
2011-07-24,102,2011,7,24,6,29,3,0,3861.0,354.0,0.0,5390.0,4475.857142857143,3676.733333333333
2011-07-25,12337,2011,7,25,0,30,3,0,102.0,5443.0,5228.0,5899.0,5460.714285714285,3891.3333333333335
2011-07-26,7918,2011,7,26,1,30,3,0,12337.0,4767.0,5228.0,1269.0,5910.857142857143,4112.966666666666
2011-07-27,9804,2011,7,27,2,30,3,0,7918.0,7977.0,1939.0,6653.0,6171.857142857143,4218.0
2011-07-28,3211,2011,7,28,3,30,3,0,9804.0,6104.0,3034.0,7197.0,5758.571428571428,4085.133333333333
2011-07-29,1916,2011,7,29,4,30,3,0,3211.0,3077.0,934.0,8333.0,5592.714285714285,3871.233333333333
2011-07-30,4205,2011,7,30,5,30,3,0,1916.0,3861.0,3626.0,5300.0,5641.857142857143,3834.733333333333
2011-07-31,476,2011,7,31,6,30,3,0,4205.0,102.0,354.0,3844.0,5695.285714285715,3722.4666666666667
2011-08-01,6767,2011,8,1,0,31,3,0,476.0,12337.0,5443.0,389.0,4899.571428571428,3935.0666666666666
2011-08-02,5344,2011,8,2,1,31,3,0,6767.0,7918.0,4767.0,0.0,4531.857142857143,4113.2
2011-08-03,10667,2011,8,3,2,31,3,0,5344.0,9804.0,7977.0,1984.0,4655.142857142857,4402.633333333333
2011-08-04,13621,2011,8,4,3,31,3,0,10667.0,3211.0,6104.0,3725.0,6142.285714285715,4732.5
2011-08-05,5709,2011,8,5,4,31,3,0,13621.0,1916.0,3077.0,3772.0,6684.142857142857,4797.066666666667
2011-08-06,1072,2011,8,6,5,31,3,0,5709.0,4205.0,3861.0,4856.0,6236.571428571428,4670.933333333333
2011-08-07,38,2011,8,7,6,31,3,0,1072.0,476.0,102.0,3385.0,6174.0,4559.366666666667
2011-08-08,8099,2011,8,8,0,32,3,0,38.0,6767.0,12337.0,2022.0,6364.285714285715,4761.933333333333
2011-08-09,13282,2011,8,9,1,32,3,0,8099.0,5344.0,7918.0,0.0,7498.285714285715,5204.666666666667
2011-08-10,13153,2011,8,10,2,32,3,0,13282.0,10667.0,9804.0,5228.0,7853.428571428572,5468.833333333333
2011-08-11,7410,2011,8,11,3,32,3,0,13153.0,13621.0,3211.0,5228.0,6966.142857142857,5541.566666666667
2011-08-12,8970,2011,8,12,4,32,3,0,7410.0,5709.0,1916.0,1939.0,7432.0,5775.933333333333
2011-08-13,2603,2011,8,13,5,32,3,0,8970.0,1072.0,4205.0,3034.0,7650.714285714285,5761.566666666667
2011-08-14,0,2011,8,14,6,32,3,0,2603.0,38.0,476.0,934.0,7645.285714285715,5730.433333333333
2011-08-15,6932,2011,8,15,0,33,3,0,0.0,8099.0,6767.0,3626.0,7478.571428571428,5840.633333333333
2011-08-16,13433,2011,8,16,1,33,3,0,6932.0,13282.0,5344.0,354.0,7500.142857142857,6276.6
2011-08-17,6625,2011,8,17,2,33,3,0,13433.0,13153.0,10667.0,5443.0,6567.571428571428,6316.0
2011-08-18,9053,2011,8,18,3,33,3,0,6625.0,7410.0,13621.0,4767.0,6802.285714285715,6458.866666666667
2011-08-19,10154,2011,8,19,4,33,3,0,9053.0,8970.0,5709.0,7977.0,6971.428571428572,6531.433333333333
2011-08-20,3032,2011,8,20,5,33,3,0,10154.0,2603.0,1072.0,6104.0,7032.714285714285,6429.033333333334
2011-08-21,2996,2011,8,21,6,33,3,0,3032.0,0.0,38.0,3077.0,7460.714285714285,6426.333333333333
2011-08-22,5181,2011,8,22,0,34,3,0,2996.0,6932.0,8099.0,3861.0,7210.571428571428,6470.333333333333
2011-08-23,3313,2011,8,23,1,34,3,0,5181.0,13433.0,13282.0,102.0,5764.857142857143,6577.366666666667
2011-08-24,5166,2011,8,24,2,34,3,0,3313.0,6625.0,13153.0,12337.0,5556.428571428572,6338.333333333333
2011-08-25,9631,2011,8,25,3,34,3,0,5166.0,9053.0,7410.0,7918.0,5639.0,6395.433333333333
2011-08-26,8122,2011,8,26,4,34,3,0,9631.0,10154.0,8970.0,9804.0,5348.714285714285,6339.366666666667
2011-08-27,5397,2011,8,27,5,34,3,0,8122.0,3032.0,2603.0,3211.0,5686.571428571428,6412.233333333334
2011-08-28,0,2011,8,28,6,34,3,0,5397.0,2996.0,0.0,1916.0,5258.571428571428,6348.366666666667
2011-08-29,7615,2011,8,29,0,35,3,0,0.0,5181.0,6932.0,4205.0,5606.285714285715,6462.033333333334
2011-08-30,8906,2011,8,30,1,35,3,0,7615.0,3313.0,13433.0,476.0,6405.285714285715,6743.033333333334
2011-08-31,5279,2011,8,31,2,35,3,0,8906.0,5166.0,6625.0,6767.0,6421.428571428572,6693.433333333333
2011-09-01,7252,2011,9,1,3,35,3,0,5279.0,9631.0,9053.0,5344.0,6081.571428571428,6757.033333333334
2011-09-02,14364,2011,9,2,4,35,3,0,7252.0,8122.0,10154.0,10667.0,6973.285714285715,6880.266666666666
2011-09-03,814,2011,9,3,5,35,3,0,14364.0,5397.0,3032.0,13621.0,6318.571428571428,6453.366666666667
2011-09-04,0,2011,9,4,6,35,3,0,814.0,0.0,2996.0,5709.0,6318.571428571428,6263.066666666667
2011-09-05,4149,2011,9,5,0,36,3,0,0.0,7615.0,5181.0,1072.0,5823.428571428572,6365.633333333333
2011-09-06,10297,2011,9,6,1,36,3,0,4149.0,8906.0,3313.0,38.0,6022.142857142857,6707.6
2011-09-07,6336,2011,9,7,2,36,3,0,10297.0,5279.0,5166.0,8099.0,6173.142857142857,6648.833333333333
2011-09-08,36833,2011,9,8,3,36,3,0,6336.0,7252.0,9631.0,13282.0,10399.0,7433.866666666667
2011-09-09,11579,2011,9,9,4,36,3,0,36833.0,14364.0,8122.0,13153.0,10001.142857142857,7381.4
2011-09-10,3269,2011,9,10,5,36,3,0,11579.0,814.0,5397.0,7410.0,10351.857142857143,7243.366666666667
2011-09-11,1368,2011,9,11,6,36,3,0,3269.0,0.0,0.0,8970.0,10547.285714285714,6989.966666666666
2011-09-12,14073,2011,9,12,0,37,3,0,1368.0,4149.0,7615.0,2603.0,11965.0,7372.3
2011-09-13,6395,2011,9,13,1,37,3,0,14073.0,10297.0,8906.0,0.0,11407.57142857143,7585.466666666666
2011-09-14,17719,2011,9,14,2,37,3,0,6395.0,6336.0,5279.0,6932.0,13033.714285714286,7945.033333333334
2011-09-15,10738,2011,9,15,3,37,3,0,17719.0,36833.0,7252.0,13433.0,9305.857142857143,7855.2
2011-09-16,5409,2011,9,16,4,37,3,0,10738.0,11579.0,14364.0,6625.0,8424.42857142857,7814.666666666667
2011-09-17,2467,2011,9,17,5,37,3,0,5409.0,3269.0,814.0,9053.0,8309.857142857143,7595.133333333333
2011-09-18,750,2011,9,18,6,37,3,0,2467.0,1368.0,0.0,10154.0,8221.57142857143,7281.666666666667
2011-09-19,16206,2011,9,19,0,38,3,0,750.0,14073.0,4149.0,3032.0,8526.285714285714,7720.8
2011-09-20,13651,2011,9,20,1,38,3,0,16206.0,6395.0,10297.0,2996.0,9562.857142857143,8075.966666666666
