order_id,product_key,customer_id,geography_id,order_date_id,ship_date_id,order_priority,ship_mode,sales,profit,quantity,discount,shipping_cost
CA-2014-112753,52,CC-126704,1,1266,1271,High,Standard Class,39,19.0512,6,0.0,4.89
US-2014-113201,21,TT-212204,1,1278,1283,Medium,Standard Class,205,100.4255,5,0.0,14.98
CA-2014-133718,53,TB-215204,1,1301,1304,Critical,First Class,58,27.9936,9,0.0,7.82
CA-2014-105326,54,KT-164804,1,1329,1336,Medium,Standard Class,26,12.4416,4,0.0,1.27
CA-2014-137498,41,LC-170504,1,1349,1354,Medium,Second Class,48,22.8096,9,0.0,5.29
US-2014-109582,55,JM-158654,1,1352,1357,Medium,Second Class,166,79.8912,3,0.0,11.1
CA-2014-121853,56,DB-136604,1,1363,1369,Medium,Standard Class,211,97.0784,8,0.0,15.64
US-2014-115595,57,XP-218654,1,1379,1381,Medium,First Class,35,16.544,5,0.0,7.79
CA-2014-110842,58,GA-147254,1,1412,1417,Medium,Standard Class,19,9.3312,3,0.0,1.43
US-2014-125808,59,EP-139154,1,1413,1416,High,Second Class,12,5.6644,2,0.0,1.71
CA-2014-118542,60,CC-125504,1,1432,1436,Medium,Standard Class,45,21.7728,7,0.0,3.56
CA-2014-102099,61,EP-139154,1,1449,1450,Medium,First Class,13,6.2208,2,0.0,0.94
CA-2014-102099,62,EP-139154,1,1449,1450,Medium,First Class,32,15.552,5,0.0,1.09
CA-2011-164903,63,SR-207404,1,52,56,High,Standard Class,13,6.2208,2,0.0,1.14
CA-2011-102652,64,AY-105554,1,96,102,Medium,Standard Class,55,26.6304,1,0.0,2.28
CA-2011-102652,65,AY-105554,1,96,102,Medium,Standard Class,19,9.3312,3,0.0,2.11
CA-2011-113768,66,AH-100304,1,133,139,Medium,Standard Class,8,3.84,2,0.0,0.15
CA-2011-146528,67,VF-217154,1,206,208,High,Second Class,6,3.1752,1,0.0,0.79
CA-2011-104178,68,JM-152654,1,237,241,High,Standard Class,26,12.4416,4,0.0,3.11
CA-2011-106439,69,GG-146504,1,304,308,High,Standard Class,65,30.4278,13,0.0,6.72
CA-2011-168305,23,PL-189254,1,305,312,Medium,Standard Class,21,9.63,5,0.0,0.92
CA-2011-140732,70,MA-175604,1,315,317,High,Second Class,124,55.764,4,0.0,27.69
CA-2012-163104,8,MC-181304,1,444,451,Medium,Standard Class,12,5.8604,2,0.0,1.2
US-2012-107944,71,AM-103604,1,448,450,High,First Class,193,92.5056,11,0.0,27.31
CA-2012-138219,72,BP-110954,1,448,455,Medium,Standard Class,33,16.68,4,0.0,2.16
CA-2012-142601,46,DE-132554,1,474,476,Medium,Second Class,62,27.882,2,0.0,8.38
CA-2012-165554,73,AJ-107804,1,504,508,Medium,Standard Class,11,5.3214,2,0.0,1.0
CA-2012-161242,74,CG-120404,1,518,525,Medium,Standard Class,12,5.7624,2,0.0,0.82
CA-2012-133025,75,MO-178004,1,626,628,Critical,Second Class,32,15.552,5,0.0,7.02
CA-2012-132815,76,RW-195404,1,628,631,High,Second Class,23,11.2504,2,0.0,3.62
CA-2012-153220,49,YC-218954,1,682,684,High,First Class,16,7.065,5,0.0,3.41
CA-2012-125234,77,SN-207104,1,697,701,Medium,Standard Class,114,53.4954,3,0.0,9.19
CA-2012-141593,68,DB-129703,1,714,716,High,Second Class,6,3.1104,1,0.0,1.31
CA-2012-144890,78,SM-203204,1,725,729,Medium,Standard Class,10,4.8804,2,0.0,0.22
CA-2013-129238,79,SC-200504,1,762,766,Medium,Standard Class,57,27.783,5,0.0,4.73
CA-2013-154067,80,SM-209504,1,763,769,Medium,Standard Class,106,48.5392,4,0.0,8.11
CA-2013-112942,81,RD-198104,1,775,780,Medium,Standard Class,147,73.41,3,0.0,8.08
CA-2013-159016,82,KF-162854,1,801,802,High,First Class,15,7.152,5,0.0,2.67
US-2013-159093,83,RS-194204,1,861,866,Medium,Standard Class,32,14.418,4,0.0,1.48
CA-2013-147473,84,NL-183104,1,882,886,Medium,Standard Class,39,18.6624,6,0.0,2.81
US-2013-155971,85,RB-197954,1,889,895,Medium,Standard Class,100,46.953,5,0.0,4.9
CA-2013-144015,47,AH-100754,1,909,909,Critical,Same Day,12,5.616,2,0.0,2.73
US-2013-126452,86,SC-202304,1,965,972,Low,Standard Class,48,21.384,9,0.0,3.43
US-2013-126452,87,SC-202304,1,965,972,Low,Standard Class,13,6.2208,2,0.0,1.16
CA-2013-109806,88,JS-156854,1,992,997,Medium,Standard Class,6,3.1104,1,0.0,0.52
CA-2013-155187,72,LA-167804,1,999,1001,Medium,Second Class,42,20.85,5,0.0,5.31
CA-2013-119018,89,CW-119054,1,1040,1044,High,Standard Class,39,18.6624,6,0.0,6.66
CA-2013-152646,90,TH-212354,1,1057,1062,Medium,Standard Class,32,15.552,5,0.0,1.97
US-2013-103674,15,AP-107204,1,1072,1076,Medium,Standard Class,13,6.4128,2,0.0,0.8
CA-2013-145919,91,HG-149654,1,1084,1089,High,Standard Class,39,18.6624,6,0.0,5.02
US-2013-116729,1,GK-146204,1,1091,1094,Medium,First Class,45,21.7728,7,0.0,1.33
CA-2014-117212,92,BT-115304,1,1154,1156,Medium,Second Class,224,109.7208,4,0.0,17.93
CA-2014-117212,93,BT-115304,1,1154,1156,Medium,Second Class,23,11.3288,4,0.0,2.6
CA-2014-134635,80,NS-186404,1,1202,1204,Critical,Second Class,79,36.4044,3,0.0,17.5
CA-2014-120614,40,SM-209504,1,1247,1252,Medium,Standard Class,38,18.0096,4,0.0,1.63
CA-2014-145772,94,SS-201404,1,1251,1255,High,Standard Class,12,5.382,2,0.0,1.4
CA-2014-113670,21,RS-197654,1,1385,1387,Critical,First Class,205,100.4255,5,0.0,35.32
CA-2014-109701,73,AM-103604,1,1433,1434,High,Same Day,11,5.3214,2,0.0,1.77
CA-2014-153227,74,CS-122504,1,1435,1437,High,First Class,12,5.7624,2,0.0,2.14
CA-2014-161578,95,RB-194654,1,1447,1452,High,Second Class,13,6.4128,2,0.0,1.23
CA-2011-153808,96,FH-142754,1,96,100,High,Second Class,71,18.447,3,0.0,8.74
CA-2011-110849,97,JL-158354,1,108,113,High,Standard Class,11,3.5475,5,0.0,1.79
CA-2011-110849,98,JL-158354,1,108,113,High,Standard Class,13,3.8048,4,0.0,0.6
CA-2011-116785,99,MH-172904,1,116,120,High,Standard Class,21,6.206,5,0.0,3.37
US-2011-154879,100,SN-207104,1,126,131,Medium,Standard Class,108,30.2232,6,0.0,10.88
CA-2011-115812,101,BH-117104,1,160,165,Medium,Standard Class,7,1.9656,4,0.0,0.49
CA-2011-114643,102,FM-142154,1,164,168,High,Standard Class,15,4.7916,3,0.0,2.33
CA-2011-109218,103,AR-108254,1,181,184,Medium,Second Class,32,10.368,5,0.0,1.53
CA-2011-122679,104,AB-102554,1,203,209,Medium,Standard Class,20,6.4944,6,0.0,1.37
CA-2011-106439,105,GG-146504,1,304,308,High,Standard Class,12,3.717,3,0.0,1.78
CA-2011-153619,106,TC-215354,1,307,307,Critical,Same Day,7,3.36,4,0.0,1.6
CA-2011-105270,107,AP-109154,1,315,322,Low,Standard Class,30,7.9248,3,0.0,4.02
US-2011-144078,108,RB-194354,1,329,333,Medium,Standard Class,7,2.604,3,0.0,0.62
CA-2011-133830,109,RL-196154,1,339,344,Medium,Standard Class,26,11.907,9,0.0,1.45
CA-2011-138737,110,FP-143204,1,341,344,Medium,First Class,9,2.4192,3,0.0,0.71
CA-2011-156594,96,MC-178454,1,354,357,High,Second Class,47,12.298,2,0.0,6.7
CA-2011-156594,111,MC-178454,1,354,357,High,Second Class,4,1.1564,1,0.0,0.68
CA-2012-151253,112,AZ-107504,1,478,482,High,Standard Class,64,16.6764,3,0.0,7.61
CA-2012-115945,113,AB-101654,1,542,548,Medium,Standard Class,21,5.24,2,0.0,1.56
CA-2012-153388,106,PC-190004,1,579,585,Medium,Standard Class,7,3.36,4,0.0,0.33
CA-2012-167745,114,GB-145304,1,627,632,Medium,Standard Class,12,5.4896,2,0.0,0.91
CA-2012-144652,115,SN-205604,1,690,696,Medium,Standard Class,19,5.0596,7,0.0,1.07
CA-2012-105347,109,DP-130004,1,694,698,Medium,Standard Class,15,6.615,5,0.0,0.76
CA-2012-115693,116,FC-142454,1,710,715,Medium,Standard Class,56,15.764,2,0.0,4.99
CA-2012-134117,117,PG-188954,1,717,719,Critical,Second Class,205,53.261,5,0.0,72.45
CA-2012-134117,118,PG-188954,1,717,719,Critical,Second Class,16,7.052,5,0.0,2.73
CA-2013-146437,119,HG-149654,1,759,763,Medium,Second Class,40,10.3168,2,0.0,3.91
US-2013-115819,120,JO-152804,1,841,846,Medium,Second Class,5,1.5288,3,0.0,0.41
US-2013-115819,121,JO-152804,1,841,846,Medium,Second Class,73,21.228,5,0.0,7.83
CA-2013-140256,122,PW-190304,1,966,973,Low,Standard Class,6,1.6704,2,0.0,0.52
US-2013-100405,123,TS-214304,1,970,972,Critical,Second Class,8,3.7996,2,0.0,2.99
CA-2013-126732,124,LR-169154,1,977,981,Medium,Standard Class,19,5.2332,7,0.0,1.73
CA-2013-109806,125,JS-156854,1,992,997,Medium,Standard Class,20,6.633,3,0.0,1.44
CA-2013-161746,123,CS-119504,1,1026,1032,Medium,Standard Class,12,5.6994,3,0.0,0.09
CA-2013-158694,126,AI-108554,1,1046,1049,High,Second Class,15,3.969,5,0.0,1.23
US-2013-112970,127,TB-212504,1,1050,1051,Critical,First Class,10,2.8536,3,0.0,2.71
CA-2013-107104,111,MS-173654,1,1062,1066,Medium,Standard Class,37,10.4076,9,0.0,1.58
CA-2013-104689,128,FH-143654,1,1067,1071,High,Standard Class,23,6.912,8,0.0,1.32
US-2013-103674,124,AP-107204,1,1072,1076,Medium,Standard Class,19,5.2332,7,0.0,1.6
CA-2013-129868,100,MC-181304,1,1092,1097,Medium,Standard Class,54,15.1116,3,0.0,2.39
CA-2014-160934,99,TT-214604,1,1112,1116,High,Standard Class,21,6.206,5,0.0,2.0
CA-2014-134838,129,ED-138854,1,1147,1148,High,First Class,13,3.4668,3,0.0,0.83
CA-2014-110478,130,SP-208604,1,1160,1165,Medium,Standard Class,9,2.7028,4,0.0,0.7
CA-2014-143084,131,BP-110504,1,1174,1178,Medium,Standard Class,14,3.753,5,0.0,0.56
US-2014-120117,132,TB-214004,1,1186,1186,High,Same Day,6,2.0672,2,0.0,0.38
CA-2014-168228,96,AP-109154,1,1214,1216,High,First Class,47,12.298,2,0.0,10.4
CA-2014-168228,133,AP-109154,1,1214,1216,High,First Class,124,33.4584,4,0.0,18.3
CA-2014-168228,123,AP-109154,1,1214,1216,High,First Class,12,5.6994,3,0.0,2.53
CA-2014-154501,134,EA-140354,1,1217,1222,Medium,Standard Class,10,4.0098,2,0.0,0.21
CA-2014-147844,135,DD-135704,1,1219,1223,Medium,Standard Class,60,15.4752,3,0.0,3.63
US-2014-151127,136,RL-196154,1,1239,1242,Medium,First Class,50,18.8328,7,0.0,5.26
CA-2014-143343,98,BW-112004,1,1258,1261,Medium,First Class,16,4.756,5,0.0,1.49
CA-2014-135167,137,SC-208004,1,1263,1268,Medium,Standard Class,4,1.7466,1,0.0,0.29
CA-2014-138149,138,WB-218504,1,1277,1278,High,First Class,12,3.0368,2,0.0,2.05
CA-2014-137498,127,LC-170504,1,1349,1354,Medium,Second Class,7,1.9024,2,0.0,0.2
CA-2014-102974,139,DP-131054,1,1359,1364,Medium,Standard Class,23,6.0632,2,0.0,1.41
CA-2014-102974,140,DP-131054,1,1359,1364,Medium,Standard Class,17,4.8546,3,0.0,0.88
US-2014-141509,141,SC-205754,1,1369,1371,Critical,First Class,99,25.792,5,0.0,4.52
CA-2014-112431,142,RW-196904,1,1382,1384,High,Second Class,6,1.5876,2,0.0,0.81
CA-2014-100013,143,ZC-219104,1,1407,1412,Medium,Standard Class,6,1.7608,2,0.0,0.19
CA-2014-124261,99,JE-157154,1,1415,1420,Medium,Standard Class,34,9.9296,8,0.0,1.02
CA-2014-109701,106,AM-103604,1,1433,1434,High,Same Day,10,5.04,6,0.0,0.23
CA-2014-102407,144,AT-104354,1,1440,1444,Medium,Second Class,11,2.79,2,0.0,1.5
CA-2014-102099,145,EP-139154,1,1449,1450,Medium,First Class,7,1.7901,3,0.0,1.05
CA-2014-163405,146,BN-115154,1,1452,1456,High,Standard Class,6,1.7052,2,0.0,0.66
CA-2014-163405,145,BN-115154,1,1452,1456,High,Standard Class,7,1.7901,3,0.0,0.29
CA-2011-120838,147,PO-188654,1,82,85,High,Second Class,330,85.904,2,0.0,34.62
US-2011-120740,148,PS-189704,1,105,105,Critical,Same Day,107,31.0184,2,0.0,20.75
CA-2011-146528,149,VF-217154,1,206,208,High,Second Class,16,4.5008,4,0.0,0.86
CA-2011-169642,150,BB-109904,1,208,211,Medium,Second Class,276,0.0,2,0.0,32.27
CA-2011-101931,151,TS-213704,1,301,304,High,First Class,141,38.178,5,0.0,14.96
CA-2011-101931,152,TS-213704,1,301,304,High,First Class,481,14.4222,2,0.0,21.55
CA-2011-101931,153,TS-213704,1,301,304,High,First Class,6,0.0628,2,0.0,1.41
CA-2011-140732,154,MA-175604,1,315,317,High,Second Class,8,2.0228,2,0.0,0.92
CA-2011-127558,155,SS-204104,1,319,322,Medium,First Class,20,5.3196,2,0.0,5.13
CA-2011-119144,156,JD-161504,1,320,322,Critical,First Class,345,10.3473,3,0.0,89.84
US-2011-157385,157,SC-200954,1,327,329,Critical,First Class,22,10.4832,3,0.0,2.9
CA-2011-150203,158,JB-159254,1,339,341,High,First Class,250,72.5754,6,0.0,36.78
CA-2011-106726,159,RS-197654,1,340,342,Critical,First Class,1261,327.9458,7,0.0,506.49
CA-2011-162992,160,BP-110954,1,353,355,Medium,First Class,23,8.7945,5,0.0,2.33
CA-2011-162992,161,BP-110954,1,353,355,Medium,First Class,15,6.8714,2,0.0,1.2
CA-2011-120243,162,AT-104354,1,361,364,High,Second Class,12,5.4332,4,0.0,1.06
CA-2012-116092,163,JM-161954,1,411,414,Medium,Second Class,541,157.0176,6,0.0,43.71
CA-2012-142601,164,DE-132554,1,474,476,Medium,Second Class,947,9.4717,7,0.0,36.83
CA-2012-149972,165,CD-127904,1,630,632,High,First Class,8,2.528,2,0.0,1.9
CA-2012-168760,166,MM-182804,1,631,635,High,Second Class,61,16.5888,3,0.0,15.69
US-2012-119312,167,CS-124004,1,641,646,Medium,Second Class,270,75.6952,14,0.0,29.13
CA-2012-152527,168,CM-121904,1,656,656,Critical,Same Day,78,3.894,2,0.0,18.46
CA-2012-137708,169,NG-184304,1,692,695,High,Second Class,34,10.089,3,0.0,6.73
CA-2012-118871,170,HM-148604,1,704,709,Medium,Second Class,271,122.148,3,0.0,34.62
CA-2012-110870,171,KD-162704,1,712,715,High,First Class,26,0.5152,7,0.0,4.91
CA-2012-125423,172,MC-175754,1,713,715,Medium,Second Class,10,4.5816,2,0.0,0.87
CA-2013-125206,173,LR-169154,1,734,736,High,First Class,114,28.615,2,0.0,14.24
CA-2013-139010,174,MC-176354,1,783,788,Medium,Second Class,449,8.983,5,0.0,54.23
CA-2013-131380,175,CC-122204,1,819,822,Critical,Second Class,88,0.8792,4,0.0,23.69
CA-2013-130638,176,SC-200954,1,868,871,Medium,Second Class,28,13.3056,9,0.0,2.0
CA-2013-138688,177,DV-130454,1,895,899,High,Second Class,15,6.8714,2,0.0,1.47
CA-2013-123512,178,MV-181904,1,900,902,Critical,First Class,23,10.8,6,0.0,3.7
CA-2013-144015,179,AH-100754,1,909,909,Critical,Same Day,18,8.95,5,0.0,4.89
CA-2013-144015,180,AH-100754,1,909,909,Critical,Same Day,232,11.586,2,0.0,43.08
CA-2013-130029,181,GT-147554,1,916,919,High,First Class,4,0.0792,2,0.0,0.66
CA-2013-111115,179,LB-167354,1,938,940,High,Second Class,21,10.74,6,0.0,4.35
CA-2013-155187,182,LA-167804,1,999,1001,Medium,Second Class,42,2.9372,2,0.0,2.92
CA-2013-114972,183,PF-192254,1,1039,1042,Critical,First Class,1101,429.5772,4,0.0,364.76
CA-2013-114972,184,PF-192254,1,1039,1042,Critical,First Class,88,41.2237,7,0.0,11.56
CA-2013-161669,185,EM-140954,1,1043,1045,High,First Class,15,6.8714,2,0.0,1.92
CA-2013-161669,186,EM-140954,1,1043,1045,High,First Class,11,3.2944,2,0.0,1.38
CA-2013-158694,187,AI-108554,1,1046,1049,High,Second Class,130,38.976,4,0.0,16.65
CA-2013-158694,159,AI-108554,1,1046,1049,High,Second Class,721,187.3976,4,0.0,105.59
US-2013-111528,188,JP-161354,1,1096,1096,Medium,Same Day,481,125.1432,4,0.0,56.65
CA-2014-164707,189,CV-128054,1,1146,1149,High,Second Class,10,4.8118,2,0.0,2.16
CA-2014-117212,166,BT-115304,1,1154,1156,Medium,Second Class,82,22.1184,4,0.0,9.84
CA-2014-122007,190,JK-153254,1,1174,1176,Medium,Second Class,91,26.3494,7,0.0,6.89
CA-2014-108539,191,SC-207254,1,1177,1179,High,Second Class,726,210.4936,4,0.0,58.05
CA-2014-132178,192,DB-129703,1,1220,1225,Medium,Second Class,763,45.8064,8,0.0,50.46
CA-2014-132178,193,DB-129703,1,1220,1225,Medium,Second Class,70,19.4656,2,0.0,4.22
CA-2014-140963,194,MT-180704,1,1258,1261,High,First Class,30,14.8,2,0.0,3.12
CA-2014-141481,166,ZD-219254,1,1259,1262,High,First Class,61,16.5888,3,0.0,8.47
CA-2014-138149,195,WB-218504,1,1277,1278,High,First Class,131,39.213,3,0.0,34.83
US-2014-143175,196,GA-145154,1,1312,1315,Medium,Second Class,100,23.9688,3,0.0,3.05
CA-2014-169327,197,MH-172904,1,1342,1344,High,Second Class,43,11.206,5,0.0,3.94
US-2014-157224,198,JB-160004,1,1354,1358,Medium,Second Class,57,26.082,9,0.0,2.1
CA-2014-165155,199,BM-115754,1,1361,1363,Critical,First Class,16,3.8775,1,0.0,4.31
CA-2014-109701,200,AM-103604,1,1433,1434,High,Same Day,79,22.2516,3,0.0,8.23
CA-2014-102407,201,AT-104354,1,1440,1444,Medium,Second Class,189,68.04,1,0.0,14.17
CA-2014-161578,202,RB-194654,1,1447,1452,High,Second Class,159,7.945,5,0.0,15.27
CA-2011-110849,203,JL-158354,1,108,113,High,Standard Class,12,3.6022,2,0.0,0.96
CA-2011-116785,204,MH-172904,1,116,120,High,Standard Class,13,5.796,2,0.0,1.8
CA-2011-114125,205,GH-144104,1,190,194,High,Standard Class,3,1.4112,1,0.0,0.47
CA-2011-114125,206,GH-144104,1,190,194,High,Standard Class,24,4.0664,4,0.0,1.7
CA-2011-110184,207,BF-111704,1,193,197,High,Standard Class,250,44.955,9,0.0,52.56
CA-2011-104178,208,JM-152654,1,237,241,High,Standard Class,49,13.1868,4,0.0,3.81
CA-2011-146969,209,AP-109154,1,272,276,High,Standard Class,9,2.8776,4,0.0,1.29
CA-2011-146969,210,AP-109154,1,272,276,High,Standard Class,62,16.7886,1,0.0,5.67
CA-2011-106439,211,GG-146504,1,304,308,High,Standard Class,11,5.2164,3,0.0,1.2
CA-2011-106439,212,GG-146504,1,304,308,High,Standard Class,80,20.878,5,0.0,15.67
CA-2011-106439,213,GG-146504,1,304,308,High,Standard Class,406,12.1692,4,0.0,18.82
CA-2012-121776,214,RD-195854,1,412,417,High,Standard Class,88,41.2237,7,0.0,9.83
US-2012-120502,215,BT-113954,1,469,475,Low,Standard Class,76,29.5776,2,0.0,8.99
CA-2012-115420,216,LS-169454,1,481,488,Low,Standard Class,21,9.8164,2,0.0,2.31
CA-2012-165162,217,HG-150254,1,500,507,Low,Standard Class,1118,55.896,4,0.0,137.93
CA-2012-149846,218,SB-201854,1,508,512,High,Standard Class,8,3.7996,2,0.0,0.8
CA-2012-149846,219,SB-201854,1,508,512,High,Standard Class,105,29.3412,7,0.0,13.18
CA-2012-132906,220,CC-121454,1,619,623,High,Standard Class,52,1.5456,4,0.0,7.75
CA-2012-100573,221,AM-107054,1,634,640,Low,Standard Class,17,8.2156,2,0.0,1.73
CA-2012-129532,222,YS-218804,1,708,712,High,Standard Class,222,4.4392,2,0.0,43.34
CA-2012-148376,148,AG-109004,1,727,731,High,Standard Class,107,31.0184,2,0.0,11.51
CA-2012-148376,223,AG-109004,1,727,731,High,Standard Class,22,10.3488,7,0.0,4.27
CA-2013-130477,224,LC-171404,1,830,834,High,Standard Class,65,2.5984,2,0.0,7.09
CA-2013-138282,225,AH-106904,1,871,875,High,Standard Class,88,23.7168,8,0.0,7.92
CA-2013-134803,226,CL-125654,1,880,886,Low,Standard Class,262,78.672,2,0.0,26.48
CA-2013-167241,206,BD-113204,1,959,966,Low,Standard Class,18,3.0498,3,0.0,2.88
CA-2013-130162,227,JH-159104,1,1033,1037,High,Standard Class,93,26.0568,6,0.0,6.35
CA-2013-166226,228,TC-215354,1,1054,1058,High,Standard Class,68,18.3168,1,0.0,6.48
CA-2013-145919,180,HG-149654,1,1084,1089,High,Standard Class,579,28.965,5,0.0,53.83
CA-2014-145807,229,SB-201704,1,1137,1141,High,Standard Class,355,17.745,5,0.0,48.88
CA-2014-129294,230,KD-166154,1,1172,1177,High,Standard Class,141,54.8613,3,0.0,14.92
CA-2014-129294,231,KD-166154,1,1172,1177,High,Standard Class,310,80.6312,2,0.0,26.14
US-2014-160143,232,HG-149654,1,1187,1194,Low,Standard Class,30,8.019,3,0.0,4.08
CA-2014-164959,233,KN-163904,1,1289,1293,High,Standard Class,9,4.0749,3,0.0,1.11
CA-2014-141929,195,RA-192854,1,1344,1348,High,Standard Class,218,65.355,5,0.0,26.6
CA-2014-100825,196,KD-164954,1,1349,1354,High,Standard Class,100,23.9688,3,0.0,10.94
CA-2014-105914,234,PV-189854,1,1372,1378,Low,Standard Class,1575,204.7682,7,0.0,127.15
CA-2011-112291,235,KE-164204,1,93,98,Medium,Standard Class,11,5.58,2,0.0,0.24
US-2011-154879,162,SN-207104,1,126,131,Medium,Standard Class,6,2.7166,2,0.0,0.33
CA-2011-115812,236,BH-117104,1,160,165,Medium,Standard Class,115,34.47,5,0.0,8.23
